"STATISTIC","Statistic Label","TLIST(A1)","Year","C03530V04258","Sector of Activity","C03066V03701","Size of Enterprise","UNIT","VALUE"
"TSA11C01","Value of Exports","2022","2022","40","Wholesale and Retail (45-47)","99","Unknown","Euro Million",""
"TSA11C01","Value of Exports","2022","2022","40","Wholesale and Retail (45-47)","-","All Enterprises","Euro Million","14756"
"TSA11C01","Value of Exports","2022","2022","50","Services/other (49-98)","05","Micro (0 to 9)","Euro Million","3534"
"TSA11C01","Value of Exports","2022","2022","50","Services/other (49-98)","01","Small (10 to 49)","Euro Million","1781"
"TSA11C01","Value of Exports","2022","2022","50","Services/other (49-98)","02","Medium (50 to 249)","Euro Million","2559"
"TSA11C01","Value of Exports","2022","2022","50","Services/other (49-98)","03","Large (250 or more)","Euro Million","1317"
"TSA11C01","Value of Exports","2022","2022","50","Services/other (49-98)","99","Unknown","Euro Million",""
"TSA11C01","Value of Exports","2022","2022","50","Services/other (49-98)","-","All Enterprises","Euro Million","9191"
"TSA11C01","Value of Exports","2022","2022","99","Unknown","05","Micro (0 to 9)","Euro Million",""
"TSA11C01","Value of Exports","2022","2022","99","Unknown","01","Small (10 to 49)","Euro Million",""
"TSA11C01","Value of Exports","2022","2022","99","Unknown","02","Medium (50 to 249)","Euro Million",""
"TSA11C01","Value of Exports","2022","2022","99","Unknown","03","Large (250 or more)","Euro Million",""
"TSA11C01","Value of Exports","2022","2022","99","Unknown","99","Unknown","Euro Million","4183"
"TSA11C01","Value of Exports","2022","2022","99","Unknown","-","All Enterprises","Euro Million","4183"
"TSA11C01","Value of Exports","2022","2022","-","All sectors","05","Micro (0 to 9)","Euro Million","10183"
"TSA11C01","Value of Exports","2022","2022","-","All sectors","01","Small (10 to 49)","Euro Million","9334"
"TSA11C01","Value of Exports","2022","2022","-","All sectors","02","Medium (50 to 249)","Euro Million","18791"
"TSA11C01","Value of Exports","2022","2022","-","All sectors","03","Large (250 or more)","Euro Million","160943"
"TSA11C01","Value of Exports","2022","2022","-","All sectors","99","Unknown","Euro Million","4183"
"TSA11C01","Value of Exports","2022","2022","-","All sectors","-","All Enterprises","Euro Million","203433"
"TSA11C02","Number of Exporting Enterprises","2017","2017","10","Agriculture and Food (01-03,10-11)","05","Micro (0 to 9)","Number","335"
"TSA11C02","Number of Exporting Enterprises","2017","2017","10","Agriculture and Food (01-03,10-11)","01","Small (10 to 49)","Number","178"
"TSA11C02","Number of Exporting Enterprises","2017","2017","10","Agriculture and Food (01-03,10-11)","02","Medium (50 to 249)","Number","109"
"TSA11C02","Number of Exporting Enterprises","2017","2017","10","Agriculture and Food (01-03,10-11)","03","Large (250 or more)","Number","45"
"TSA11C02","Number of Exporting Enterprises","2017","2017","10","Agriculture and Food (01-03,10-11)","99","Unknown","Number",""
"TSA11C02","Number of Exporting Enterprises","2017","2017","10","Agriculture and Food (01-03,10-11)","-","All Enterprises","Number","667"
"TSA11C02","Number of Exporting Enterprises","2017","2017","20","Chemicals and Pharmaceuticals (20-21)","05","Micro (0 to 9)","Number","65"
"TSA11C02","Number of Exporting Enterprises","2017","2017","20","Chemicals and Pharmaceuticals (20-21)","01","Small (10 to 49)","Number","54"
"TSA11C02","Number of Exporting Enterprises","2017","2017","20","Chemicals and Pharmaceuticals (20-21)","02","Medium (50 to 249)","Number","47"
"TSA11C02","Number of Exporting Enterprises","2017","2017","20","Chemicals and Pharmaceuticals (20-21)","03","Large (250 or more)","Number","34"
"TSA11C02","Number of Exporting Enterprises","2017","2017","20","Chemicals and Pharmaceuticals (20-21)","99","Unknown","Number",""
"TSA11C02","Number of Exporting Enterprises","2017","2017","20","Chemicals and Pharmaceuticals (20-21)","-","All Enterprises","Number","200"
"TSA11C02","Number of Exporting Enterprises","2017","2017","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","05","Micro (0 to 9)","Number","1005"
"TSA11C02","Number of Exporting Enterprises","2017","2017","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","01","Small (10 to 49)","Number","720"
"TSA11C02","Number of Exporting Enterprises","2017","2017","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","02","Medium (50 to 249)","Number","313"
"TSA11C02","Number of Exporting Enterprises","2017","2017","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","03","Large (250 or more)","Number","90"
"TSA11C02","Number of Exporting Enterprises","2017","2017","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","99","Unknown","Number",""
"TSA11C02","Number of Exporting Enterprises","2017","2017","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","-","All Enterprises","Number","2128"
"TSA11C02","Number of Exporting Enterprises","2017","2017","40","Wholesale and Retail (45-47)","05","Micro (0 to 9)","Number","2521"
"TSA11C02","Number of Exporting Enterprises","2017","2017","40","Wholesale and Retail (45-47)","01","Small (10 to 49)","Number","1024"
"TSA11C02","Number of Exporting Enterprises","2017","2017","40","Wholesale and Retail (45-47)","02","Medium (50 to 249)","Number","207"
"TSA11C02","Number of Exporting Enterprises","2017","2017","40","Wholesale and Retail (45-47)","03","Large (250 or more)","Number","48"
"TSA11C02","Number of Exporting Enterprises","2017","2017","40","Wholesale and Retail (45-47)","99","Unknown","Number",""
"TSA11C02","Number of Exporting Enterprises","2017","2017","40","Wholesale and Retail (45-47)","-","All Enterprises","Number","3800"
"TSA11C02","Number of Exporting Enterprises","2017","2017","50","Services/other (49-98)","05","Micro (0 to 9)","Number","1176"
"TSA11C02","Number of Exporting Enterprises","2017","2017","50","Services/other (49-98)","01","Small (10 to 49)","Number","406"
"TSA11C02","Number of Exporting Enterprises","2017","2017","50","Services/other (49-98)","02","Medium (50 to 249)","Number","157"
"TSA11C02","Number of Exporting Enterprises","2017","2017","50","Services/other (49-98)","03","Large (250 or more)","Number","74"
"TSA11C02","Number of Exporting Enterprises","2017","2017","50","Services/other (49-98)","99","Unknown","Number",""
"TSA11C02","Number of Exporting Enterprises","2017","2017","50","Services/other (49-98)","-","All Enterprises","Number","1813"
"TSA11C02","Number of Exporting Enterprises","2017","2017","99","Unknown","05","Micro (0 to 9)","Number",""
"TSA11C02","Number of Exporting Enterprises","2017","2017","99","Unknown","01","Small (10 to 49)","Number",""
"TSA11C02","Number of Exporting Enterprises","2017","2017","99","Unknown","02","Medium (50 to 249)","Number",""
"TSA11C02","Number of Exporting Enterprises","2017","2017","99","Unknown","03","Large (250 or more)","Number",""
"TSA11C02","Number of Exporting Enterprises","2017","2017","99","Unknown","99","Unknown","Number","25"
"TSA11C02","Number of Exporting Enterprises","2017","2017","99","Unknown","-","All Enterprises","Number","25"
"TSA11C02","Number of Exporting Enterprises","2017","2017","-","All sectors","05","Micro (0 to 9)","Number","5102"
"TSA11C02","Number of Exporting Enterprises","2017","2017","-","All sectors","01","Small (10 to 49)","Number","2382"
"TSA11C02","Number of Exporting Enterprises","2017","2017","-","All sectors","02","Medium (50 to 249)","Number","833"
"TSA11C02","Number of Exporting Enterprises","2017","2017","-","All sectors","03","Large (250 or more)","Number","291"
"TSA11C02","Number of Exporting Enterprises","2017","2017","-","All sectors","99","Unknown","Number","25"
"TSA11C02","Number of Exporting Enterprises","2017","2017","-","All sectors","-","All Enterprises","Number","8633"
"TSA11C02","Number of Exporting Enterprises","2018","2018","10","Agriculture and Food (01-03,10-11)","05","Micro (0 to 9)","Number","351"
"TSA11C02","Number of Exporting Enterprises","2018","2018","10","Agriculture and Food (01-03,10-11)","01","Small (10 to 49)","Number","189"
"TSA11C02","Number of Exporting Enterprises","2018","2018","10","Agriculture and Food (01-03,10-11)","02","Medium (50 to 249)","Number","106"
"TSA11C02","Number of Exporting Enterprises","2018","2018","10","Agriculture and Food (01-03,10-11)","03","Large (250 or more)","Number","48"
"TSA11C02","Number of Exporting Enterprises","2018","2018","10","Agriculture and Food (01-03,10-11)","99","Unknown","Number",""
"TSA11C02","Number of Exporting Enterprises","2018","2018","10","Agriculture and Food (01-03,10-11)","-","All Enterprises","Number","694"
"TSA11C02","Number of Exporting Enterprises","2018","2018","20","Chemicals and Pharmaceuticals (20-21)","05","Micro (0 to 9)","Number","70"
"TSA11C02","Number of Exporting Enterprises","2018","2018","20","Chemicals and Pharmaceuticals (20-21)","01","Small (10 to 49)","Number","48"
"TSA11C02","Number of Exporting Enterprises","2018","2018","20","Chemicals and Pharmaceuticals (20-21)","02","Medium (50 to 249)","Number","49"
"TSA11C02","Number of Exporting Enterprises","2018","2018","20","Chemicals and Pharmaceuticals (20-21)","03","Large (250 or more)","Number","34"
"TSA11C02","Number of Exporting Enterprises","2018","2018","20","Chemicals and Pharmaceuticals (20-21)","99","Unknown","Number",""
"TSA11C02","Number of Exporting Enterprises","2018","2018","20","Chemicals and Pharmaceuticals (20-21)","-","All Enterprises","Number","201"
"TSA11C02","Number of Exporting Enterprises","2018","2018","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","05","Micro (0 to 9)","Number","1052"
"TSA11C02","Number of Exporting Enterprises","2018","2018","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","01","Small (10 to 49)","Number","709"
"TSA11C02","Number of Exporting Enterprises","2018","2018","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","02","Medium (50 to 249)","Number","330"
"TSA11C02","Number of Exporting Enterprises","2018","2018","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","03","Large (250 or more)","Number","88"
"TSA11C02","Number of Exporting Enterprises","2018","2018","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","99","Unknown","Number",""
"TSA11C02","Number of Exporting Enterprises","2018","2018","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","-","All Enterprises","Number","2179"
"TSA11C02","Number of Exporting Enterprises","2018","2018","40","Wholesale and Retail (45-47)","05","Micro (0 to 9)","Number","2607"
"TSA11C02","Number of Exporting Enterprises","2018","2018","40","Wholesale and Retail (45-47)","01","Small (10 to 49)","Number","1040"
"TSA11C02","Number of Exporting Enterprises","2018","2018","40","Wholesale and Retail (45-47)","02","Medium (50 to 249)","Number","215"
"TSA11C02","Number of Exporting Enterprises","2018","2018","40","Wholesale and Retail (45-47)","03","Large (250 or more)","Number","53"
"TSA11C02","Number of Exporting Enterprises","2018","2018","40","Wholesale and Retail (45-47)","99","Unknown","Number",""
"TSA11C02","Number of Exporting Enterprises","2018","2018","40","Wholesale and Retail (45-47)","-","All Enterprises","Number","3915"
"TSA11C02","Number of Exporting Enterprises","2018","2018","50","Services/other (49-98)","05","Micro (0 to 9)","Number","1155"
"TSA11C02","Number of Exporting Enterprises","2018","2018","50","Services/other (49-98)","01","Small (10 to 49)","Number","430"
"TSA11C02","Number of Exporting Enterprises","2018","2018","50","Services/other (49-98)","02","Medium (50 to 249)","Number","172"
"TSA11C02","Number of Exporting Enterprises","2018","2018","50","Services/other (49-98)","03","Large (250 or more)","Number","75"
"TSA11C02","Number of Exporting Enterprises","2018","2018","50","Services/other (49-98)","99","Unknown","Number",""
"TSA11C02","Number of Exporting Enterprises","2018","2018","50","Services/other (49-98)","-","All Enterprises","Number","1832"
"TSA11C02","Number of Exporting Enterprises","2018","2018","99","Unknown","05","Micro (0 to 9)","Number",""
"TSA11C02","Number of Exporting Enterprises","2018","2018","99","Unknown","01","Small (10 to 49)","Number",""
"TSA11C02","Number of Exporting Enterprises","2018","2018","99","Unknown","02","Medium (50 to 249)","Number",""
"TSA11C02","Number of Exporting Enterprises","2018","2018","99","Unknown","03","Large (250 or more)","Number",""
"TSA11C02","Number of Exporting Enterprises","2018","2018","99","Unknown","99","Unknown","Number","39"
"TSA11C02","Number of Exporting Enterprises","2018","2018","99","Unknown","-","All Enterprises","Number","39"
"TSA11C02","Number of Exporting Enterprises","2018","2018","-","All sectors","05","Micro (0 to 9)","Number","5235"
"TSA11C02","Number of Exporting Enterprises","2018","2018","-","All sectors","01","Small (10 to 49)","Number","2416"
"TSA11C02","Number of Exporting Enterprises","2018","2018","-","All sectors","02","Medium (50 to 249)","Number","872"
"TSA11C02","Number of Exporting Enterprises","2018","2018","-","All sectors","03","Large (250 or more)","Number","298"
"TSA11C02","Number of Exporting Enterprises","2018","2018","-","All sectors","99","Unknown","Number","39"
"TSA11C02","Number of Exporting Enterprises","2018","2018","-","All sectors","-","All Enterprises","Number","8860"
"TSA11C02","Number of Exporting Enterprises","2019","2019","10","Agriculture and Food (01-03,10-11)","05","Micro (0 to 9)","Number","414"
"TSA11C02","Number of Exporting Enterprises","2019","2019","10","Agriculture and Food (01-03,10-11)","01","Small (10 to 49)","Number","194"
"TSA11C02","Number of Exporting Enterprises","2019","2019","10","Agriculture and Food (01-03,10-11)","02","Medium (50 to 249)","Number","104"
"TSA11C02","Number of Exporting Enterprises","2019","2019","10","Agriculture and Food (01-03,10-11)","03","Large (250 or more)","Number","52"
"TSA11C02","Number of Exporting Enterprises","2019","2019","10","Agriculture and Food (01-03,10-11)","99","Unknown","Number",""
"TSA11C02","Number of Exporting Enterprises","2019","2019","10","Agriculture and Food (01-03,10-11)","-","All Enterprises","Number","764"
"TSA11C02","Number of Exporting Enterprises","2019","2019","20","Chemicals and Pharmaceuticals (20-21)","05","Micro (0 to 9)","Number","75"
"TSA11C02","Number of Exporting Enterprises","2019","2019","20","Chemicals and Pharmaceuticals (20-21)","01","Small (10 to 49)","Number","48"
"TSA11C02","Number of Exporting Enterprises","2019","2019","20","Chemicals and Pharmaceuticals (20-21)","02","Medium (50 to 249)","Number","46"
"TSA11C02","Number of Exporting Enterprises","2019","2019","20","Chemicals and Pharmaceuticals (20-21)","03","Large (250 or more)","Number","34"
"TSA11C02","Number of Exporting Enterprises","2019","2019","20","Chemicals and Pharmaceuticals (20-21)","99","Unknown","Number",""
"TSA11C02","Number of Exporting Enterprises","2019","2019","20","Chemicals and Pharmaceuticals (20-21)","-","All Enterprises","Number","203"
"TSA11C02","Number of Exporting Enterprises","2019","2019","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","05","Micro (0 to 9)","Number","1270"
"TSA11C02","Number of Exporting Enterprises","2019","2019","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","01","Small (10 to 49)","Number","742"
"TSA11C02","Number of Exporting Enterprises","2019","2019","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","02","Medium (50 to 249)","Number","324"
"TSA11C02","Number of Exporting Enterprises","2019","2019","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","03","Large (250 or more)","Number","86"
"TSA11C02","Number of Exporting Enterprises","2019","2019","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","99","Unknown","Number",""
"TSA11C02","Number of Exporting Enterprises","2019","2019","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","-","All Enterprises","Number","2422"
"TSA11C02","Number of Exporting Enterprises","2019","2019","40","Wholesale and Retail (45-47)","05","Micro (0 to 9)","Number","2729"
"TSA11C02","Number of Exporting Enterprises","2019","2019","40","Wholesale and Retail (45-47)","01","Small (10 to 49)","Number","1112"
"TSA11C02","Number of Exporting Enterprises","2019","2019","40","Wholesale and Retail (45-47)","02","Medium (50 to 249)","Number","216"
"TSA11C02","Number of Exporting Enterprises","2019","2019","40","Wholesale and Retail (45-47)","03","Large (250 or more)","Number","53"
"TSA11C02","Number of Exporting Enterprises","2019","2019","40","Wholesale and Retail (45-47)","99","Unknown","Number",""
"TSA11C02","Number of Exporting Enterprises","2019","2019","40","Wholesale and Retail (45-47)","-","All Enterprises","Number","4110"
"TSA11C02","Number of Exporting Enterprises","2019","2019","50","Services/other (49-98)","05","Micro (0 to 9)","Number","1594"
"TSA11C02","Number of Exporting Enterprises","2019","2019","50","Services/other (49-98)","01","Small (10 to 49)","Number","503"
"TSA11C02","Number of Exporting Enterprises","2019","2019","50","Services/other (49-98)","02","Medium (50 to 249)","Number","209"
"TSA11C02","Number of Exporting Enterprises","2019","2019","50","Services/other (49-98)","03","Large (250 or more)","Number","84"
"TSA11C02","Number of Exporting Enterprises","2019","2019","50","Services/other (49-98)","99","Unknown","Number",""
"TSA11C02","Number of Exporting Enterprises","2019","2019","50","Services/other (49-98)","-","All Enterprises","Number","2390"
"TSA11C02","Number of Exporting Enterprises","2019","2019","99","Unknown","05","Micro (0 to 9)","Number",""
"TSA11C02","Number of Exporting Enterprises","2019","2019","99","Unknown","01","Small (10 to 49)","Number",""
"TSA11C02","Number of Exporting Enterprises","2019","2019","99","Unknown","02","Medium (50 to 249)","Number",""
"TSA11C02","Number of Exporting Enterprises","2019","2019","99","Unknown","03","Large (250 or more)","Number",""
"TSA11C02","Number of Exporting Enterprises","2019","2019","99","Unknown","99","Unknown","Number","59"
"TSA11C02","Number of Exporting Enterprises","2019","2019","99","Unknown","-","All Enterprises","Number","59"
"TSA11C02","Number of Exporting Enterprises","2019","2019","-","All sectors","05","Micro (0 to 9)","Number","6082"
"TSA11C02","Number of Exporting Enterprises","2019","2019","-","All sectors","01","Small (10 to 49)","Number","2599"
"TSA11C02","Number of Exporting Enterprises","2019","2019","-","All sectors","02","Medium (50 to 249)","Number","899"
"TSA11C02","Number of Exporting Enterprises","2019","2019","-","All sectors","03","Large (250 or more)","Number","309"
"TSA11C02","Number of Exporting Enterprises","2019","2019","-","All sectors","99","Unknown","Number","59"
"TSA11C02","Number of Exporting Enterprises","2019","2019","-","All sectors","-","All Enterprises","Number","9948"
"TSA11C02","Number of Exporting Enterprises","2020","2020","10","Agriculture and Food (01-03,10-11)","05","Micro (0 to 9)","Number","420"
"TSA11C02","Number of Exporting Enterprises","2020","2020","10","Agriculture and Food (01-03,10-11)","01","Small (10 to 49)","Number","169"
"TSA11C02","Number of Exporting Enterprises","2020","2020","10","Agriculture and Food (01-03,10-11)","02","Medium (50 to 249)","Number","119"
"TSA11C02","Number of Exporting Enterprises","2020","2020","10","Agriculture and Food (01-03,10-11)","03","Large (250 or more)","Number","54"
"TSA11C02","Number of Exporting Enterprises","2020","2020","10","Agriculture and Food (01-03,10-11)","99","Unknown","Number",""
"TSA11C02","Number of Exporting Enterprises","2020","2020","10","Agriculture and Food (01-03,10-11)","-","All Enterprises","Number","762"
"TSA11C02","Number of Exporting Enterprises","2020","2020","20","Chemicals and Pharmaceuticals (20-21)","05","Micro (0 to 9)","Number","82"
"TSA11C02","Number of Exporting Enterprises","2020","2020","20","Chemicals and Pharmaceuticals (20-21)","01","Small (10 to 49)","Number","50"
"TSA11C02","Number of Exporting Enterprises","2020","2020","20","Chemicals and Pharmaceuticals (20-21)","02","Medium (50 to 249)","Number","42"
"TSA11C02","Number of Exporting Enterprises","2020","2020","20","Chemicals and Pharmaceuticals (20-21)","03","Large (250 or more)","Number","38"
"TSA11C02","Number of Exporting Enterprises","2020","2020","20","Chemicals and Pharmaceuticals (20-21)","99","Unknown","Number",""
"TSA11C02","Number of Exporting Enterprises","2020","2020","20","Chemicals and Pharmaceuticals (20-21)","-","All Enterprises","Number","212"
"TSA11C02","Number of Exporting Enterprises","2020","2020","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","05","Micro (0 to 9)","Number","1260"
"TSA11C02","Number of Exporting Enterprises","2020","2020","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","01","Small (10 to 49)","Number","685"
"TSA11C02","Number of Exporting Enterprises","2020","2020","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","02","Medium (50 to 249)","Number","340"
"TSA11C02","Number of Exporting Enterprises","2020","2020","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","03","Large (250 or more)","Number","87"
"TSA11C02","Number of Exporting Enterprises","2020","2020","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","99","Unknown","Number",""
"TSA11C02","Number of Exporting Enterprises","2020","2020","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","-","All Enterprises","Number","2372"
"TSA11C02","Number of Exporting Enterprises","2020","2020","40","Wholesale and Retail (45-47)","05","Micro (0 to 9)","Number","2808"
"TSA11C02","Number of Exporting Enterprises","2020","2020","40","Wholesale and Retail (45-47)","01","Small (10 to 49)","Number","1053"
"TSA11C02","Number of Exporting Enterprises","2020","2020","40","Wholesale and Retail (45-47)","02","Medium (50 to 249)","Number","230"
"TSA11C02","Number of Exporting Enterprises","2020","2020","40","Wholesale and Retail (45-47)","03","Large (250 or more)","Number","53"
"TSA11C02","Number of Exporting Enterprises","2020","2020","40","Wholesale and Retail (45-47)","99","Unknown","Number",""
"TSA11C02","Number of Exporting Enterprises","2020","2020","40","Wholesale and Retail (45-47)","-","All Enterprises","Number","4144"
"TSA11C02","Number of Exporting Enterprises","2020","2020","50","Services/other (49-98)","05","Micro (0 to 9)","Number","1548"
"TSA11C02","Number of Exporting Enterprises","2020","2020","50","Services/other (49-98)","01","Small (10 to 49)","Number","493"
"TSA11C02","Number of Exporting Enterprises","2020","2020","50","Services/other (49-98)","02","Medium (50 to 249)","Number","209"
"TSA11C02","Number of Exporting Enterprises","2020","2020","50","Services/other (49-98)","03","Large (250 or more)","Number","98"
"TSA11C02","Number of Exporting Enterprises","2020","2020","50","Services/other (49-98)","99","Unknown","Number",""
"TSA11C02","Number of Exporting Enterprises","2020","2020","50","Services/other (49-98)","-","All Enterprises","Number","2348"
"TSA11C02","Number of Exporting Enterprises","2020","2020","99","Unknown","05","Micro (0 to 9)","Number",""
"TSA11C02","Number of Exporting Enterprises","2020","2020","99","Unknown","01","Small (10 to 49)","Number",""
"TSA11C02","Number of Exporting Enterprises","2020","2020","99","Unknown","02","Medium (50 to 249)","Number",""
"TSA11C02","Number of Exporting Enterprises","2020","2020","99","Unknown","03","Large (250 or more)","Number",""
"TSA11C02","Number of Exporting Enterprises","2020","2020","99","Unknown","99","Unknown","Number","2"
"TSA11C02","Number of Exporting Enterprises","2020","2020","99","Unknown","-","All Enterprises","Number","2"
"TSA11C02","Number of Exporting Enterprises","2020","2020","-","All sectors","05","Micro (0 to 9)","Number","6118"
"TSA11C02","Number of Exporting Enterprises","2020","2020","-","All sectors","01","Small (10 to 49)","Number","2450"
"TSA11C02","Number of Exporting Enterprises","2020","2020","-","All sectors","02","Medium (50 to 249)","Number","940"
"TSA11C02","Number of Exporting Enterprises","2020","2020","-","All sectors","03","Large (250 or more)","Number","330"
"TSA11C02","Number of Exporting Enterprises","2020","2020","-","All sectors","99","Unknown","Number","2"
"TSA11C02","Number of Exporting Enterprises","2020","2020","-","All sectors","-","All Enterprises","Number","9840"
"TSA11C02","Number of Exporting Enterprises","2021","2021","10","Agriculture and Food (01-03,10-11)","05","Micro (0 to 9)","Number","521"
"TSA11C02","Number of Exporting Enterprises","2021","2021","10","Agriculture and Food (01-03,10-11)","01","Small (10 to 49)","Number","210"
"TSA11C02","Number of Exporting Enterprises","2021","2021","10","Agriculture and Food (01-03,10-11)","02","Medium (50 to 249)","Number","131"
"TSA11C02","Number of Exporting Enterprises","2021","2021","10","Agriculture and Food (01-03,10-11)","03","Large (250 or more)","Number","54"
"TSA11C02","Number of Exporting Enterprises","2021","2021","10","Agriculture and Food (01-03,10-11)","99","Unknown","Number",""
"TSA11C02","Number of Exporting Enterprises","2021","2021","10","Agriculture and Food (01-03,10-11)","-","All Enterprises","Number","916"
"TSA11C02","Number of Exporting Enterprises","2021","2021","20","Chemicals and Pharmaceuticals (20-21)","05","Micro (0 to 9)","Number","105"
"TSA11C02","Number of Exporting Enterprises","2021","2021","20","Chemicals and Pharmaceuticals (20-21)","01","Small (10 to 49)","Number","52"
"TSA11C02","Number of Exporting Enterprises","2021","2021","20","Chemicals and Pharmaceuticals (20-21)","02","Medium (50 to 249)","Number","47"
"TSA11C02","Number of Exporting Enterprises","2021","2021","20","Chemicals and Pharmaceuticals (20-21)","03","Large (250 or more)","Number","37"
"TSA11C02","Number of Exporting Enterprises","2021","2021","20","Chemicals and Pharmaceuticals (20-21)","99","Unknown","Number",""
"TSA11C02","Number of Exporting Enterprises","2021","2021","20","Chemicals and Pharmaceuticals (20-21)","-","All Enterprises","Number","241"
"TSA11C02","Number of Exporting Enterprises","2021","2021","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","05","Micro (0 to 9)","Number","1559"
"TSA11C02","Number of Exporting Enterprises","2021","2021","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","01","Small (10 to 49)","Number","876"
"TSA11C02","Number of Exporting Enterprises","2021","2021","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","02","Medium (50 to 249)","Number","407"
"TSA11C02","Number of Exporting Enterprises","2021","2021","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","03","Large (250 or more)","Number","112"
"TSA11C02","Number of Exporting Enterprises","2021","2021","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","99","Unknown","Number",""
"TSA11C02","Number of Exporting Enterprises","2021","2021","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","-","All Enterprises","Number","2954"
"TSA11C02","Number of Exporting Enterprises","2021","2021","40","Wholesale and Retail (45-47)","05","Micro (0 to 9)","Number","3433"
"TSA11C02","Number of Exporting Enterprises","2021","2021","40","Wholesale and Retail (45-47)","01","Small (10 to 49)","Number","1287"
"TSA11C02","Number of Exporting Enterprises","2021","2021","40","Wholesale and Retail (45-47)","02","Medium (50 to 249)","Number","312"
"TSA11C02","Number of Exporting Enterprises","2021","2021","40","Wholesale and Retail (45-47)","03","Large (250 or more)","Number","76"
"TSA11C02","Number of Exporting Enterprises","2021","2021","40","Wholesale and Retail (45-47)","99","Unknown","Number",""
"TSA11C02","Number of Exporting Enterprises","2021","2021","40","Wholesale and Retail (45-47)","-","All Enterprises","Number","5108"
"TSA11C02","Number of Exporting Enterprises","2021","2021","50","Services/other (49-98)","05","Micro (0 to 9)","Number","1906"
"TSA11C02","Number of Exporting Enterprises","2021","2021","50","Services/other (49-98)","01","Small (10 to 49)","Number","792"
"TSA11C02","Number of Exporting Enterprises","2021","2021","50","Services/other (49-98)","02","Medium (50 to 249)","Number","378"
"TSA11C02","Number of Exporting Enterprises","2021","2021","50","Services/other (49-98)","03","Large (250 or more)","Number","200"
"TSA11C02","Number of Exporting Enterprises","2021","2021","50","Services/other (49-98)","99","Unknown","Number",""
"TSA11C02","Number of Exporting Enterprises","2021","2021","50","Services/other (49-98)","-","All Enterprises","Number","3276"
"TSA11C02","Number of Exporting Enterprises","2021","2021","99","Unknown","05","Micro (0 to 9)","Number",""
"TSA11C02","Number of Exporting Enterprises","2021","2021","99","Unknown","01","Small (10 to 49)","Number",""
"TSA11C02","Number of Exporting Enterprises","2021","2021","99","Unknown","02","Medium (50 to 249)","Number",""
"TSA11C02","Number of Exporting Enterprises","2021","2021","99","Unknown","03","Large (250 or more)","Number",""
"TSA11C02","Number of Exporting Enterprises","2021","2021","99","Unknown","99","Unknown","Number","2"
"TSA11C02","Number of Exporting Enterprises","2021","2021","99","Unknown","-","All Enterprises","Number","2"
"TSA11C02","Number of Exporting Enterprises","2021","2021","-","All sectors","05","Micro (0 to 9)","Number","7524"
"TSA11C02","Number of Exporting Enterprises","2021","2021","-","All sectors","01","Small (10 to 49)","Number","3217"
"TSA11C02","Number of Exporting Enterprises","2021","2021","-","All sectors","02","Medium (50 to 249)","Number","1275"
"TSA11C02","Number of Exporting Enterprises","2021","2021","-","All sectors","03","Large (250 or more)","Number","479"
"TSA11C02","Number of Exporting Enterprises","2021","2021","-","All sectors","99","Unknown","Number","2"
"TSA11C02","Number of Exporting Enterprises","2021","2021","-","All sectors","-","All Enterprises","Number","12497"
"TSA11C02","Number of Exporting Enterprises","2022","2022","10","Agriculture and Food (01-03,10-11)","05","Micro (0 to 9)","Number","464"
"TSA11C02","Number of Exporting Enterprises","2022","2022","10","Agriculture and Food (01-03,10-11)","01","Small (10 to 49)","Number","205"
"TSA11C02","Number of Exporting Enterprises","2022","2022","10","Agriculture and Food (01-03,10-11)","02","Medium (50 to 249)","Number","137"
